Scan_id,current_bot(uA),integrated_charge_bot(mC/cm^2),current_top(uA),integrated_charge_top(mC/cm^2)
4219,0.03,0,0.09,0
4221,0.05967,2.2,0.1,2.28
4222,0.1,2.2,0.12,2.28
4226,0.05967,2.53,0.1293,2.45
4229,0.08,3.84,0.1333,3.71
4234,0.2587,4.25,0.275,4.09
4235,0.2207,4.25,0.251,4.09
4242,0.1803,4.25,0.2297,4.09
4243,0.16,4.25,0.22,4.09
4244,0.14,4.25,0.22,4.09
4245,0.1003,4.25,0.197,4.09
4248,0.09,4.25,0.18,4.09
4249,0.08033,4.25,0.1783,4.09
4260,0.3,8.12,0.07,7.66
4263,0.592,8.94,0.08067,8.40
4266,0.3403,10.98,0.1103,10.30
4269,0.23,11.48,0.21,10.70
4691,1.6,14.79,0.8,14.16
4695,1.788,18.95,1.3,18.40
4704,2.7,20.91,1.3,20.33
