Scan_id,current_bot(uA),integrated_charge_bot(mC/cm^2),current_top(uA),integrated_charge_top(mC/cm^2)
4219,0.08,0,0.2,0
4221,0.1387,2.2,0.2,2.28
4222,0.1593,2.2,0.218,2.28
4226,0.1527,2.53,0.2327,2.45
4229,0.2507,3.84,0.2703,3.71
4234,0.473,4.25,0.4247,4.09
4235,0.381,4.25,0.3783,4.09
4242,0.33,4.25,0.36,4.09
4243,0.2693,4.25,0.3367,4.09
4244,0.25,4.25,0.34,4.09
4245,0.18,4.25,0.2793,4.09
4248,0.1793,4.25,0.2877,4.09
4249,0.1697,4.25,0.2793,4.09
4260,0.55,8.12,0.182,7.66
4263,1.09,8.94,0.195,8.40
4266,0.629,10.98,0.3017,10.30
4269,0.4307,11.48,0.6663,10.70
4691,2.763,14.79,1.5,14.16
4695,3.1,18.95,2.3,18.40
4704,4.1,20.91,2.1,20.33
